地区,primary_2020,middle_2020,high_2020,primary_2024,middle_2024,high_2024,primary_2025,middle_2025,high_2025,primary_2026,middle_2026,high_2026,primary_2027,middle_2027,high_2027,primary_chg_2024,primary_chg_2025,primary_chg_2026,primary_chg_2027,middle_chg_2024,middle_chg_2025,middle_chg_2026,middle_chg_2027,high_chg_2024,high_chg_2025,high_chg_2026,high_chg_2027
沽源县,10411.8,4820.4,3082.8,9129.8,5367.0,5689.2,8972.1,5044.8,5689.2,8814.4,4722.6,5689.2,8391.2,4722.6,5367.0,-12.31,-13.83,-15.34,-19.41,11.34,4.66,-2.03,-2.03,84.55,84.55,84.55,74.09
尚义县,5202.0,2798.6,2089.8,3960.0,2785.0,3153.0,3891.0,2417.0,3153.0,3822.0,2049.0,3153.0,3692.0,2049.0,2785.0,-23.88,-25.2,-26.53,-29.03,-0.49,-13.64,-26.78,-26.78,50.88,50.88,50.88,33.27
蔚县,38454.0,18713.8,10901.4,28599.5,20358.0,22620.0,27065.25,18096.0,22620.0,25531.0,15834.0,22620.0,23326.0,15834.0,20358.0,-25.63,-29.62,-33.61,-39.34,8.79,-3.3,-15.39,-15.39,107.5,107.5,107.5,86.75
阳原县,15162.0,7471.0,4835.4,11784.6,7983.6,8788.8,11303.7,7178.4,8788.8,10822.8,6373.2,8788.8,10101.4,6373.2,7983.6,-22.28,-25.45,-28.62,-33.38,6.86,-3.92,-14.69,-14.69,81.76,81.76,81.76,65.11
怀安县,12081.0,6055.4,4239.0,9454.2,6348.2,6963.6,9063.9,5732.8,6963.6,8673.6,5117.4,6963.6,8083.8,5117.4,6348.2,-21.74,-24.97,-28.2,-33.09,4.84,-5.33,-15.49,-15.49,64.27,64.27,64.27,49.76
怀来县,25355.4,11778.8,10094.4,24488.2,12658.8,12621.0,23997.9,12696.6,12621.0,23507.6,12734.4,12621.0,22279.8,12734.4,12658.8,-3.42,-5.35,-7.29,-12.13,7.47,7.79,8.11,8.11,25.03,25.03,25.03,25.4
涿鹿县,21931.8,10554.2,7533.0,18629.0,11332.2,12064.8,18076.5,10599.6,12064.8,17524.0,9867.0,12064.8,16435.0,9867.0,11332.2,-15.06,-17.58,-20.1,-25.06,7.37,0.43,-6.51,-6.51,60.16,60.16,60.16,50.43
赤城县,14113.2,7554.6,5892.6,10510.8,7499.6,8385.6,10038.6,6613.6,8385.6,9566.4,5727.6,8385.6,8833.2,5727.6,7499.6,-25.53,-28.87,-32.22,-37.41,-0.73,-12.46,-24.18,-24.18,42.31,42.31,42.31,27.27
张家口经济开发区,14040.0,10201.2,16964.4,14805.2,6953.2,6819.6,14987.4,7086.8,6819.6,15169.6,7220.4,6819.6,14750.8,7220.4,6953.2,5.45,6.75,8.05,5.06,-31.84,-30.53,-29.22,-29.22,-59.8,-59.8,-59.8,-59.01
张家口市察北管理区,1026.6,456.4,217.2,886.8,534.2,576.0,879.6,492.4,576.0,872.4,450.6,576.0,844.2,450.6,534.2,-13.62,-14.32,-15.02,-17.77,17.05,7.89,-1.27,-1.27,165.19,165.19,165.19,145.95
张家口市塞北管理区,372.6,137.4,53.4,393.6,184.0,179.4,397.2,188.6,179.4,400.8,193.2,179.4,387.4,193.2,184.0,5.64,6.6,7.57,3.97,33.92,37.26,40.61,40.61,235.96,235.96,235.96,244.57
双桥区,22654.8,10601.8,10967.4,23755.4,11024.6,10419.0,23397.3,11630.2,10419.0,23039.2,12235.8,10419.0,21634.6,12235.8,11024.6,4.86,3.28,1.7,-4.5,3.99,9.7,15.41,15.41,-5.0,-5.0,-5.0,0.52
双滦区,14581.2,5845.0,4331.4,15528.7,7061.0,6601.8,15313.65,7520.2,6601.8,15098.6,7979.4,6601.8,14259.8,7979.4,7061.0,6.5,5.02,3.55,-2.2,20.8,28.66,36.52,36.52,52.42,52.42,52.42,63.02
鹰手营子矿区,2975.4,1336.8,1020.0,2855.6,1490.2,1495.2,2803.2,1485.2,1495.2,2750.8,1480.2,1495.2,2573.4,1480.2,1490.2,-4.03,-5.79,-7.55,-13.51,11.48,11.1,10.73,10.73,46.59,46.59,46.59,46.1
承德县,25417.2,12207.0,9501.0,22582.1,12992.4,13560.0,22015.95,12424.8,13560.0,21449.8,11857.2,13560.0,20142.4,11857.2,12992.4,-11.15,-13.38,-15.61,-20.75,6.43,1.78,-2.87,-2.87,42.72,42.72,42.72,36.75
兴隆县,19591.8,9629.2,7584.0,16931.0,10081.2,10651.8,16456.5,9510.6,10651.8,15982.0,8940.0,10651.8,15013.0,8940.0,10081.2,-13.58,-16.0,-18.43,-23.37,4.69,-1.23,-7.16,-7.16,40.45,40.45,40.45,32.93
滦平县,21355.2,10276.4,8205.6,19164.7,10889.0,11311.8,18703.65,10466.2,11311.8,18242.6,10043.4,11311.8,17346.8,10043.4,10889.0,-10.26,-12.42,-14.58,-18.77,5.96,1.85,-2.27,-2.27,37.85,37.85,37.85,32.7
隆化县,30923.4,14717.6,10225.2,25493.3,15962.4,16963.8,24280.35,14961.0,16963.8,23067.4,13959.6,16963.8,21216.2,13959.6,15962.4,-17.56,-21.48,-25.4,-31.39,8.46,1.65,-5.15,-5.15,65.9,65.9,65.9,56.11
