地区,primary_2020,middle_2020,high_2020,primary_2024,middle_2024,high_2024,primary_2025,middle_2025,high_2025,primary_2026,middle_2026,high_2026,primary_2027,middle_2027,high_2027,primary_chg_2024,primary_chg_2025,primary_chg_2026,primary_chg_2027,middle_chg_2024,middle_chg_2025,middle_chg_2026,middle_chg_2027,high_chg_2024,high_chg_2025,high_chg_2026,high_chg_2027
恒山区,2641.8,1549.8,1451.4,1957.9,1413.6,1599.0,1894.05,1228.2,1599.0,1830.2,1042.8,1599.0,1646.6,1042.8,1413.6,-25.89,-28.3,-30.72,-37.67,-8.79,-20.75,-32.71,-32.71,10.17,10.17,10.17,-2.6
滴道区,2276.4,1254.4,1129.2,1812.2,1197.8,1317.0,1758.9,1078.6,1317.0,1705.6,959.4,1317.0,1549.8,959.4,1197.8,-20.39,-22.73,-25.07,-31.92,-4.51,-14.01,-23.52,-23.52,16.63,16.63,16.63,6.08
梨树区,1337.4,732.0,654.0,1012.2,702.8,771.0,951.9,634.6,771.0,891.6,566.4,771.0,786.8,566.4,702.8,-24.32,-28.82,-33.33,-41.17,-3.99,-13.31,-22.62,-22.62,17.89,17.89,17.89,7.46
城子河区,2270.4,1265.0,1144.2,1735.5,1198.6,1325.4,1658.25,1071.8,1325.4,1581.0,945.0,1325.4,1396.0,945.0,1198.6,-23.56,-26.96,-30.36,-38.51,-5.25,-15.27,-25.3,-25.3,15.84,15.84,15.84,4.75
麻山区,719.4,392.4,344.4,543.5,378.6,416.4,512.25,340.8,416.4,481.0,303.0,416.4,426.0,303.0,378.6,-24.45,-28.79,-33.14,-40.78,-3.52,-13.15,-22.78,-22.78,20.91,20.91,20.91,9.93
鸡东县,8772.0,4966.0,4530.0,6691.5,4652.0,5184.0,6449.25,4120.0,5184.0,6207.0,3588.0,5184.0,5588.0,3588.0,4652.0,-23.72,-26.48,-29.24,-36.3,-6.32,-17.04,-27.75,-27.75,14.44,14.44,14.44,2.69
虎林市,11584.8,5910.8,4854.0,10043.8,6008.0,6439.2,9920.1,5576.8,6439.2,9796.4,5145.6,6439.2,9117.2,5145.6,6008.0,-13.3,-14.37,-15.44,-21.3,1.64,-5.65,-12.95,-12.95,32.66,32.66,32.66,23.77
密山市,15178.2,8659.6,8270.4,11870.0,8010.8,8854.2,11481.0,7167.4,8854.2,11092.0,6324.0,8854.2,10093.0,6324.0,8010.8,-21.8,-24.36,-26.92,-33.5,-7.49,-17.23,-26.97,-26.97,7.06,7.06,7.06,-3.14
向阳区,2378.4,1246.2,1107.0,1968.8,1231.4,1315.8,1890.6,1147.0,1315.8,1812.4,1062.6,1315.8,1641.2,1062.6,1231.4,-17.22,-20.51,-23.8,-31.0,-1.19,-7.96,-14.73,-14.73,18.86,18.86,18.86,11.24
工农区,6291.0,3153.4,2790.6,5657.1,3208.6,3334.8,5529.45,3082.4,3334.8,5401.8,2956.2,3334.8,5056.4,2956.2,3208.6,-10.08,-12.11,-14.13,-19.62,1.75,-2.25,-6.25,-6.25,19.5,19.5,19.5,14.98
南山区,4035.0,2044.2,1769.4,3519.2,2072.2,2181.6,3425.4,1962.8,2181.6,3331.6,1853.4,2181.6,3128.8,1853.4,2072.2,-12.78,-15.11,-17.43,-22.46,1.37,-3.98,-9.33,-9.33,23.3,23.3,23.3,17.11
兴安区,3245.4,1634.6,1306.2,2710.3,1681.4,1798.8,2618.85,1564.0,1798.8,2527.4,1446.6,1798.8,2285.2,1446.6,1681.4,-16.49,-19.31,-22.12,-29.59,2.86,-4.32,-11.5,-11.5,37.71,37.71,37.71,28.72
东山区,3176.4,1790.8,1825.2,2659.4,1650.0,1773.6,2586.3,1526.4,1773.6,2513.2,1402.8,1773.6,2327.6,1402.8,1650.0,-16.28,-18.58,-20.88,-26.72,-7.86,-14.76,-21.67,-21.67,-2.83,-2.83,-2.83,-9.6
兴山区,653.4,376.4,422.4,562.0,335.6,353.4,543.0,317.8,353.4,524.0,300.0,353.4,490.0,300.0,335.6,-13.99,-16.9,-19.8,-25.01,-10.84,-15.57,-20.3,-20.3,-16.34,-16.34,-16.34,-20.55
萝北县,8020.8,4586.6,4765.8,7028.4,4172.6,4497.0,7018.8,3848.2,4497.0,7009.2,3523.8,4497.0,6663.6,3523.8,4172.6,-12.37,-12.49,-12.61,-16.92,-9.03,-16.1,-23.17,-23.17,-5.64,-5.64,-5.64,-12.45
绥滨县,6114.6,3323.2,2637.6,4760.8,3260.2,3666.0,4692.6,2854.4,3666.0,4624.4,2448.6,3666.0,4301.2,2448.6,3260.2,-22.14,-23.26,-24.37,-29.66,-1.9,-14.11,-26.32,-26.32,38.99,38.99,38.99,23.6
尖山区,10929.6,5464.8,5304.0,10336.2,5491.6,5545.2,10119.9,5438.0,5545.2,9903.6,5384.4,5545.2,9205.8,5384.4,5491.6,-5.43,-7.41,-9.39,-15.77,0.49,-0.49,-1.47,-1.47,4.55,4.55,4.55,3.54
岭东区,570.6,323.8,303.0,469.7,301.6,334.2,468.15,269.0,334.2,466.6,236.4,334.2,460.8,236.4,301.6,-17.68,-17.95,-18.23,-19.24,-6.86,-16.92,-26.99,-26.99,10.3,10.3,10.3,-0.46
四方台区,1189.8,654.8,520.8,847.5,637.2,721.8,803.25,552.6,721.8,759.0,468.0,721.8,666.0,468.0,637.2,-28.77,-32.49,-36.21,-44.02,-2.69,-15.61,-28.53,-28.53,38.59,38.59,38.59,22.35
宝山区,1879.2,1002.8,751.2,1456.3,1002.6,1128.6,1433.85,876.6,1128.6,1411.4,750.6,1128.6,1307.2,750.6,1002.6,-22.5,-23.7,-24.89,-30.44,-0.02,-12.58,-25.15,-25.15,50.24,50.24,50.24,33.47
集贤县,10782.6,6087.8,5845.8,8557.4,5663.8,6208.8,8262.3,5118.8,6208.8,7967.2,4573.8,6208.8,7297.6,4573.8,5663.8,-20.64,-23.37,-26.11,-32.32,-6.96,-15.92,-24.87,-24.87,6.21,6.21,6.21,-3.11
友谊县,3793.2,2286.4,2750.4,3453.4,1949.2,2054.4,3441.3,1844.0,2054.4,3429.2,1738.8,2054.4,3250.6,1738.8,1949.2,-8.96,-9.28,-9.6,-14.3,-14.75,-19.35,-23.95,-23.95,-25.31,-25.31,-25.31,-29.13
宝清县,16362.6,8421.8,6805.8,13557.4,8530.8,9229.8,13203.3,7831.8,9229.8,12849.2,7132.8,9229.8,11788.6,7132.8,8530.8,-17.14,-19.31,-21.47,-27.95,1.29,-7.01,-15.31,-15.31,35.62,35.62,35.62,25.35
饶河县,6313.2,3041.2,2198.4,5508.3,3258.6,3462.6,5411.85,3054.6,3462.6,5315.4,2850.6,3462.6,4894.2,2850.6,3258.6,-12.75,-14.28,-15.8,-22.48,7.15,0.44,-6.27,-6.27,57.51,57.51,57.51,48.23
萨尔图区,16161.6,8583.0,8697.0,14673.3,8229.2,8526.0,14374.35,7932.4,8526.0,14075.4,7635.6,8526.0,13101.2,7635.6,8229.2,-9.21,-11.06,-12.91,-18.94,-4.12,-7.58,-11.04,-11.04,-1.97,-1.97,-1.97,-5.38
龙凤区,13713.0,6421.0,5316.6,13372.4,6895.4,6973.2,13318.8,6817.6,6973.2,13265.2,6739.8,6973.2,12668.6,6739.8,6895.4,-2.48,-2.87,-3.27,-7.62,7.39,6.18,4.96,4.96,31.16,31.16,31.16,29.7
让胡路区,27728.4,13990.2,13044.6,25706.2,14063.8,14463.0,25293.9,13664.6,14463.0,24881.6,13265.4,14463.0,23134.8,13265.4,14063.8,-7.29,-8.78,-10.27,-16.57,0.53,-2.33,-5.18,-5.18,10.87,10.87,10.87,7.81
红岗区,4473.6,2730.0,3174.0,3774.3,2327.2,2508.0,3695.85,2146.4,2508.0,3617.4,1965.6,2508.0,3386.2,1965.6,2327.2,-15.63,-17.39,-19.14,-24.31,-14.75,-21.38,-28.0,-28.0,-20.98,-20.98,-20.98,-26.68
大同区,9011.4,4919.8,4167.0,6696.1,4769.2,5296.2,6328.95,4242.2,5296.2,5961.8,3715.2,5296.2,5336.4,3715.2,4769.2,-25.69,-29.77,-33.84,-40.78,-3.06,-13.77,-24.48,-24.48,27.1,27.1,27.1,14.45
肇州县,15579.6,8952.8,8184.0,11085.7,8305.6,9337.2,10386.15,7274.0,9337.2,9686.6,6242.4,9337.2,8570.8,6242.4,8305.6,-28.84,-33.33,-37.83,-44.99,-7.23,-18.75,-30.27,-30.27,14.09,14.09,14.09,1.49
肇源县,17524.8,9885.2,8589.6,12598.9,9352.6,10533.0,11906.55,8172.2,10533.0,11214.2,6991.8,10533.0,9916.6,6991.8,9352.6,-28.11,-32.06,-36.01,-43.41,-5.39,-17.33,-29.27,-29.27,22.63,22.63,22.63,8.88
林甸县,9797.4,5446.0,4707.6,7423.6,5204.2,5815.2,7153.2,4593.2,5815.2,6882.8,3982.2,5815.2,6324.4,3982.2,5204.2,-24.23,-26.99,-29.75,-35.45,-4.44,-15.66,-26.88,-26.88,23.53,23.53,23.53,10.55
杜尔伯特蒙古族自治县,11241.6,5948.8,5036.4,8845.3,5882.2,6405.0,8431.35,5359.4,6405.0,8017.4,4836.6,6405.0,7281.2,4836.6,5882.2,-21.32,-25.0,-28.68,-35.23,-1.12,-9.91,-18.7,-18.7,27.17,27.17,27.17,16.79
大庆高新技术产业开发区,12196.2,7281.6,10440.0,13023.9,5966.2,5702.4,13042.05,6230.0,5702.4,13060.2,6493.8,5702.4,12445.6,6493.8,5966.2,6.79,6.94,7.08,2.04,-18.06,-14.44,-10.82,-10.82,-45.38,-45.38,-45.38,-42.85
伊美区,6216.6,3663.4,4627.8,5831.7,3132.6,3181.2,5712.15,3084.0,3181.2,5592.6,3035.4,3181.2,5290.8,3035.4,3132.6,-6.19,-8.11,-10.04,-14.89,-14.49,-15.82,-17.14,-17.14,-31.26,-31.26,-31.26,-32.31
乌翠区,1983.6,918.2,767.4,1866.0,992.4,993.6,1809.0,991.2,993.6,1752.0,990.0,993.6,1647.0,990.0,992.4,-5.93,-8.8,-11.68,-16.97,8.08,7.95,7.82,7.82,29.48,29.48,29.48,29.32
友好区,1308.6,970.8,1406.4,1087.3,687.2,753.0,1075.35,621.4,753.0,1063.4,555.6,753.0,1003.2,555.6,687.2,-16.91,-17.82,-18.74,-23.34,-29.21,-35.99,-42.77,-42.77,-46.46,-46.46,-46.46,-51.14
嘉荫县,2616.0,1340.0,1128.0,2300.0,1354.0,1446.0,2280.0,1262.0,1446.0,2260.0,1170.0,1446.0,2097.0,1170.0,1354.0,-12.08,-12.84,-13.61,-19.84,1.04,-5.82,-12.69,-12.69,28.19,28.19,28.19,20.04
汤旺县,882.0,427.6,291.6,737.2,459.2,495.6,719.4,422.8,495.6,701.6,386.4,495.6,631.8,386.4,459.2,-16.42,-18.44,-20.45,-28.37,7.39,-1.12,-9.64,-9.64,69.96,69.96,69.96,57.48
丰林县,1385.4,687.8,539.4,1249.7,715.8,762.0,1251.15,669.6,762.0,1252.6,623.4,762.0,1198.8,623.4,715.8,-9.8,-9.69,-9.59,-13.47,4.07,-2.65,-9.36,-9.36,41.27,41.27,41.27,32.7
大箐山县,1290.0,662.6,496.2,1049.1,678.6,745.8,1029.45,611.4,745.8,1009.8,544.2,745.8,943.4,544.2,678.6,-18.67,-20.2,-21.72,-26.87,2.41,-7.73,-17.87,-17.87,50.3,50.3,50.3,36.76
南岔县,2198.4,1417.4,1823.4,1864.0,1137.6,1214.4,1812.0,1060.8,1214.4,1760.0,984.0,1214.4,1607.0,984.0,1137.6,-15.21,-17.58,-19.94,-26.9,-19.74,-25.16,-30.58,-30.58,-33.4,-33.4,-33.4,-37.61
金林区,1758.0,839.0,681.0,1579.0,892.0,918.0,1528.5,866.0,918.0,1478.0,840.0,918.0,1368.0,840.0,892.0,-10.18,-13.05,-15.93,-22.18,6.32,3.22,0.12,0.12,34.8,34.8,34.8,30.98
铁力市,8802.6,4688.8,4300.8,7290.9,4561.8,4882.8,7016.55,4240.8,4882.8,6742.2,3919.8,4882.8,6203.6,3919.8,4561.8,-17.17,-20.29,-23.41,-29.53,-2.71,-9.55,-16.4,-16.4,13.53,13.53,13.53,6.07
向阳区,12578.4,7325.4,9455.4,11978.5,6279.6,6260.4,11649.75,6298.8,6260.4,11321.0,6318.0,6260.4,10432.0,6318.0,6279.6,-4.77,-7.38,-10.0,-17.06,-14.28,-14.01,-13.75,-13.75,-33.79,-33.79,-33.79,-33.59
前进区,8179.2,4912.8,6700.8,7552.7,4066.0,4018.8,7168.65,4113.2,4018.8,6784.6,4160.4,4018.8,5946.8,4160.4,4066.0,-7.66,-12.36,-17.05,-27.29,-17.24,-16.28,-15.32,-15.32,-40.03,-40.03,-40.03,-39.32
东风区,3959.4,2256.8,2085.6,3065.5,2100.6,2342.4,2981.25,1858.8,2342.4,2897.0,1617.0,2342.4,2678.0,1617.0,2100.6,-22.58,-24.7,-26.83,-32.36,-6.92,-17.64,-28.35,-28.35,12.31,12.31,12.31,0.72
郊区,11020.2,6260.4,6610.8,9702.0,5701.8,6085.2,9618.0,5318.4,6085.2,9534.0,4935.0,6085.2,8848.0,4935.0,5701.8,-11.96,-12.72,-13.49,-19.71,-8.92,-15.05,-21.17,-21.17,-7.95,-7.95,-7.95,-13.75
桦南县,14036.4,8010.8,6855.6,10104.0,7541.6,8588.4,9708.0,6494.8,8588.4,9312.0,5448.0,8588.4,8584.0,5448.0,7541.6,-28.02,-30.84,-33.66,-38.84,-5.86,-18.92,-31.99,-31.99,25.28,25.28,25.28,10.01
桦川县,7515.0,4186.8,3476.4,5395.5,4019.0,4542.0,5120.25,3496.0,4542.0,4845.0,2973.0,4542.0,4385.0,2973.0,4019.0,-28.2,-31.87,-35.53,-41.65,-4.01,-16.5,-28.99,-28.99,30.65,30.65,30.65,15.61
汤原县,7925.4,4180.0,3314.4,6237.8,4179.4,4612.8,6044.1,3746.0,4612.8,5850.4,3312.6,4612.8,5342.2,3312.6,4179.4,-21.29,-23.74,-26.18,-32.59,-0.01,-10.38,-20.75,-20.75,39.17,39.17,39.17,26.1
同江市,10054.2,4883.8,3413.4,8502.6,5224.4,5619.0,8318.7,4829.8,5619.0,8134.8,4435.2,5619.0,7565.4,4435.2,5224.4,-15.43,-17.26,-19.09,-24.75,6.97,-1.11,-9.19,-9.19,64.62,64.62,64.62,53.06
富锦市,21818.4,12531.6,11788.8,16592.2,11573.8,12903.0,15972.9,10244.6,12903.0,15353.6,8915.4,12903.0,13910.8,8915.4,11573.8,-23.95,-26.79,-29.63,-36.24,-7.64,-18.25,-28.86,-28.86,9.45,9.45,9.45,-1.82
抚远市,5669.4,2719.2,1825.2,4799.1,2945.2,3166.2,4695.45,2724.2,3166.2,4591.8,2503.2,3166.2,4213.4,2503.2,2945.2,-15.35,-17.18,-19.01,-25.68,8.31,0.18,-7.94,-7.94,73.47,73.47,73.47,61.36
新兴区,6846.6,3971.4,3829.8,5149.7,3629.6,4042.2,4920.15,3217.0,4042.2,4690.6,2804.4,4042.2,4224.8,2804.4,3629.6,-24.78,-28.14,-31.49,-38.29,-8.61,-19.0,-29.39,-29.39,5.55,5.55,5.55,-5.23
桃山区,11506.2,5665.6,4878.0,10006.4,5855.2,6059.4,9562.8,5651.0,6059.4,9119.2,5446.8,6059.4,8263.6,5446.8,5855.2,-13.03,-16.89,-20.75,-28.18,3.35,-0.26,-3.86,-3.86,24.22,24.22,24.22,20.03
茄子河区,6718.8,3368.2,2327.4,5214.6,3535.8,3888.6,4991.7,3183.0,3888.6,4768.8,2830.2,3888.6,4318.4,2830.2,3535.8,-22.39,-25.71,-29.02,-35.73,4.98,-5.5,-15.97,-15.97,67.08,67.08,67.08,51.92
勃利县,10042.2,5627.6,4629.6,7038.8,5389.6,6126.6,6642.6,4652.6,6126.6,6246.4,3915.6,6126.6,5580.2,3915.6,5389.6,-29.91,-33.85,-37.8,-44.43,-4.23,-17.33,-30.42,-30.42,32.34,32.34,32.34,16.42
东安区,10626.6,4776.2,3981.0,10424.9,5266.8,5173.8,10184.55,5359.8,5173.8,9944.2,5452.8,5173.8,9178.6,5452.8,5266.8,-1.9,-4.16,-6.42,-13.63,10.27,12.22,14.17,14.17,29.96,29.96,29.96,32.3
阳明区,7810.8,4105.6,3555.6,6665.1,4063.8,4380.6,6567.45,3747.0,4380.6,6469.8,3430.2,4380.6,6035.4,3430.2,4063.8,-14.67,-15.92,-17.17,-22.73,-1.02,-8.73,-16.45,-16.45,23.2,23.2,23.2,14.29
爱民区,8886.6,6827.6,11583.6,8835.5,4445.4,4449.6,8816.25,4441.2,4449.6,8797.0,4437.0,4449.6,8273.0,4437.0,4445.4,-0.58,-0.79,-1.01,-6.9,-34.89,-34.95,-35.01,-35.01,-61.59,-61.59,-61.59,-61.62
西安区,10722.6,5749.4,6245.4,10058.6,5408.0,5501.4,9866.7,5314.6,5501.4,9674.8,5221.2,5501.4,9019.4,5221.2,5408.0,-6.19,-7.98,-9.77,-15.88,-5.94,-7.56,-9.19,-9.19,-11.91,-11.91,-11.91,-13.41
林口县,11293.2,6106.4,5216.4,8790.4,5948.2,6551.4,8443.8,5345.0,6551.4,8097.2,4741.8,6551.4,7286.6,4741.8,5948.2,-22.16,-25.23,-28.3,-35.48,-2.59,-12.47,-22.35,-22.35,25.59,25.59,25.59,14.03
绥芬河市,7099.2,3328.0,2420.4,6318.7,3627.0,3781.8,6160.65,3472.2,3781.8,6002.6,3317.4,3781.8,5545.8,3317.4,3627.0,-10.99,-13.22,-15.45,-21.88,8.98,4.33,-0.32,-0.32,56.25,56.25,56.25,49.85
海林市,12604.2,6598.6,5645.4,10256.5,6559.8,7075.2,9855.75,6044.4,7075.2,9455.0,5529.0,7075.2,8455.0,5529.0,6559.8,-18.63,-21.81,-24.99,-32.92,-0.59,-8.4,-16.21,-16.21,25.33,25.33,25.33,16.2
宁安市,15669.6,8422.4,7402.8,12406.7,8200.6,8932.2,11872.65,7469.0,8932.2,11338.6,6737.4,8932.2,10090.8,6737.4,8200.6,-20.82,-24.23,-27.64,-35.6,-2.63,-11.32,-20.01,-20.01,20.66,20.66,20.66,10.78
穆棱市,10996.8,5758.8,4598.4,8294.9,5778.6,6339.0,7784.55,5218.2,6339.0,7274.2,4657.8,6339.0,6399.6,4657.8,5778.6,-24.57,-29.21,-33.85,-41.8,0.34,-9.39,-19.12,-19.12,37.85,37.85,37.85,25.67
东宁市,10013.4,4780.2,3903.0,9049.8,5077.4,5218.8,8780.1,4936.0,5218.8,8510.4,4794.6,5218.8,7821.2,4794.6,5077.4,-9.62,-12.32,-15.01,-21.89,6.22,3.26,0.3,0.3,33.71,33.71,33.71,30.09
爱辉区,9614.4,5386.0,6348.0,9181.2,4839.8,4905.0,9062.4,4774.6,4905.0,8943.6,4709.4,4905.0,8309.8,4709.4,4839.8,-4.51,-5.74,-6.98,-13.57,-10.14,-11.35,-12.56,-12.56,-22.73,-22.73,-22.73,-23.76
逊克县,3885.6,1983.0,1734.6,3354.2,1997.6,2107.2,3252.9,1888.0,2107.2,3151.6,1778.4,2107.2,2876.8,1778.4,1997.6,-13.68,-16.28,-18.89,-25.96,0.74,-4.79,-10.32,-10.32,21.48,21.48,21.48,15.16
孙吴县,3939.0,2130.8,1938.0,3180.4,2055.4,2227.2,3058.8,1883.6,2227.2,2937.2,1711.8,2227.2,2640.6,1711.8,2055.4,-19.26,-22.35,-25.43,-32.96,-3.54,-11.6,-19.66,-19.66,14.92,14.92,14.92,6.06
北安市,13263.6,7800.4,7791.6,10299.4,7022.8,7804.8,9990.3,6240.8,7804.8,9681.2,5458.8,7804.8,8971.6,5458.8,7022.8,-22.35,-24.68,-27.01,-32.36,-9.97,-19.99,-30.02,-30.02,0.17,0.17,0.17,-9.87
五大连池市,11146.2,5987.6,5360.4,8976.5,5815.8,6301.2,8619.75,5330.4,6301.2,8263.0,4845.0,6301.2,7556.0,4845.0,5815.8,-19.47,-22.67,-25.87,-32.21,-2.87,-10.98,-19.08,-19.08,17.55,17.55,17.55,8.5
嫩江市,17848.8,9759.8,8937.0,14312.8,9340.0,10171.2,13791.6,8508.8,10171.2,13270.4,7677.6,10171.2,12112.2,7677.6,9340.0,-19.81,-22.73,-25.65,-32.14,-4.3,-12.82,-21.33,-21.33,13.81,13.81,13.81,4.51
北林区,33272.4,18602.2,17052.6,25165.2,17549.8,19377.0,23852.4,15722.6,19377.0,22539.6,13895.4,19377.0,20220.8,13895.4,17549.8,-24.37,-28.31,-32.26,-39.23,-5.66,-15.48,-25.3,-25.3,13.63,13.63,13.63,2.92
望奎县,14993.4,8488.0,7186.8,10406.4,8044.0,9138.6,9754.8,6949.4,9138.6,9103.2,5854.8,9138.6,8031.6,5854.8,8044.0,-30.59,-34.94,-39.29,-46.43,-5.23,-18.13,-31.02,-31.02,27.16,27.16,27.16,11.93
兰西县,16862.4,9448.6,7770.6,11904.4,9050.0,10287.6,11281.8,7812.4,10287.6,10659.2,6574.8,10287.6,9533.6,6574.8,9050.0,-29.4,-33.09,-36.79,-43.46,-4.22,-17.32,-30.42,-30.42,32.39,32.39,32.39,16.46
青冈县,15157.2,8656.4,7752.0,10878.3,8088.6,9108.6,10268.85,7068.6,9108.6,9659.4,6048.6,9108.6,8625.2,6048.6,8088.6,-28.23,-32.25,-36.27,-43.1,-6.56,-18.34,-30.13,-30.13,17.5,17.5,17.5,4.34
庆安县,12321.0,7016.6,6117.0,8878.3,6595.8,7466.4,8462.85,5725.2,7466.4,8047.4,4854.6,7466.4,7274.2,4854.6,6595.8,-27.94,-31.31,-34.69,-40.96,-6.0,-18.4,-30.81,-30.81,22.06,22.06,22.06,7.83
明水县,10377.6,5452.8,4482.0,8013.7,5438.6,5938.2,7581.15,4939.0,5938.2,7148.6,4439.4,5938.2,6463.8,4439.4,5438.6,-22.78,-26.95,-31.12,-37.71,-0.26,-9.42,-18.58,-18.58,32.49,32.49,32.49,21.34
绥棱县,10629.0,6083.8,5466.6,7581.3,5673.8,6392.4,7135.35,4955.2,6392.4,6689.4,4236.6,6392.4,5928.2,4236.6,5673.8,-28.67,-32.87,-37.06,-44.23,-6.74,-18.55,-30.36,-30.36,16.94,16.94,16.94,3.79
安达市,16752.0,9269.4,8509.8,12884.9,8800.4,9649.2,12224.55,7951.6,9649.2,11564.2,7102.8,9649.2,10391.6,7102.8,8800.4,-23.08,-27.03,-30.97,-37.97,-5.06,-14.22,-23.37,-23.37,13.39,13.39,13.39,3.41
肇东市,35181.6,19739.6,17869.2,26188.9,18618.8,20674.8,24776.55,16562.8,20674.8,23364.2,14506.8,20674.8,20831.6,14506.8,18618.8,-25.56,-29.58,-33.59,-40.79,-5.68,-16.09,-26.51,-26.51,15.7,15.7,15.7,4.19
海伦市,24967.8,14316.4,12546.0,17353.1,13389.8,15201.6,16263.45,11578.0,15201.6,15173.8,9766.2,15201.6,13333.4,9766.2,13389.8,-30.5,-34.86,-39.23,-46.6,-6.47,-19.13,-31.78,-31.78,21.17,21.17,21.17,6.73
漠河市,1899.0,981.2,912.0,1704.1,971.6,1015.8,1672.95,927.4,1015.8,1641.8,883.2,1015.8,1506.4,883.2,971.6,-10.26,-11.9,-13.54,-20.67,-0.98,-5.48,-9.99,-9.99,11.38,11.38,11.38,6.54
呼玛县,1580.4,823.4,754.2,1397.2,812.8,858.0,1373.4,767.6,858.0,1349.6,722.4,858.0,1227.8,722.4,812.8,-11.59,-13.1,-14.6,-22.31,-1.29,-6.78,-12.27,-12.27,13.76,13.76,13.76,7.77
塔河县,1536.0,825.8,789.0,1355.4,793.4,844.2,1341.3,742.6,844.2,1327.2,691.8,844.2,1237.6,691.8,793.4,-11.76,-12.68,-13.59,-19.43,-3.92,-10.08,-16.23,-16.23,7.0,7.0,7.0,0.56
加格达奇区,5287.8,3039.6,3313.2,4638.0,2730.2,2902.8,4572.0,2557.6,2902.8,4506.0,2385.0,2902.8,4262.0,2385.0,2730.2,-12.29,-13.54,-14.78,-19.4,-10.18,-15.86,-21.54,-21.54,-12.39,-12.39,-12.39,-17.6
松岭区,335.4,198.6,174.6,248.4,182.0,210.6,247.8,153.4,210.6,247.2,124.8,210.6,233.6,124.8,182.0,-25.94,-26.12,-26.3,-30.35,-8.36,-22.76,-37.16,-37.16,20.62,20.62,20.62,4.24
新林区,444.0,265.8,257.4,348.5,238.0,270.0,348.75,206.0,270.0,349.0,174.0,270.0,326.0,174.0,238.0,-21.51,-21.45,-21.4,-26.58,-10.46,-22.5,-34.54,-34.54,4.9,4.9,4.9,-7.54
呼中区,385.8,217.4,231.0,337.1,198.8,210.6,330.45,187.0,210.6,323.8,175.2,210.6,305.4,175.2,198.8,-12.62,-14.35,-16.07,-20.84,-8.56,-13.98,-19.41,-19.41,-8.83,-8.83,-8.83,-13.94
黄浦区,24412.8,11471.0,11829.0,24731.9,11901.6,11292.0,23977.05,12511.2,11292.0,23222.2,13120.8,11292.0,21107.6,13120.8,11901.6,1.31,-1.78,-4.88,-13.54,3.75,9.07,14.38,14.38,-4.54,-4.54,-4.54,0.61
徐汇区,46098.0,19717.2,18043.2,47898.4,22217.4,20554.2,46303.8,23880.6,20554.2,44709.2,25543.8,20554.2,40700.6,25543.8,22217.4,3.91,0.45,-3.01,-11.71,12.68,21.12,29.55,29.55,13.92,13.92,13.92,23.13
长宁区,25309.2,11014.8,10927.2,27218.3,12122.6,11058.6,26576.85,13186.6,11058.6,25935.4,14250.6,11058.6,24155.2,14250.6,12122.6,7.54,5.01,2.47,-4.56,10.06,19.72,29.38,29.38,1.2,1.2,1.2,10.94
静安区,37446.0,15809.0,14454.6,40138.4,17977.4,16486.2,39247.8,19468.6,16486.2,38357.2,20959.8,16486.2,35426.6,20959.8,17977.4,7.19,4.81,2.43,-5.39,13.72,23.15,32.58,32.58,14.06,14.06,14.06,24.37
普陀区,47357.4,19445.6,17592.0,51966.0,22576.6,20372.4,50964.0,24780.8,20372.4,49962.0,26985.0,20372.4,46490.0,26985.0,22576.6,9.73,7.62,5.5,-1.83,16.1,27.44,38.77,38.77,15.8,15.8,15.8,28.33
虹口区,25699.2,11418.6,11241.0,27157.9,12402.2,11507.4,26545.05,13297.0,11507.4,25932.2,14191.8,11507.4,23930.6,14191.8,12402.2,5.68,3.29,0.91,-6.88,8.61,16.45,24.29,24.29,2.37,2.37,2.37,10.33
杨浦区,44724.0,20582.4,23830.8,49471.9,21227.4,18958.2,48442.05,23496.6,18958.2,47412.2,25765.8,18958.2,43850.6,25765.8,21227.4,10.62,8.31,6.01,-1.95,3.13,14.16,25.18,25.18,-20.45,-20.45,-20.45,-10.92
闵行区,113234.4,47008.8,45582.0,129951.1,53652.2,47722.2,129414.45,59582.2,47722.2,128877.8,65512.2,47722.2,121370.4,65512.2,53652.2,14.76,14.29,13.82,7.19,14.13,26.75,39.36,39.36,4.7,4.7,4.7,17.7
宝山区,86598.6,35886.8,36168.0,101961.2,40781.6,35746.2,102089.4,45817.0,35746.2,102217.6,50852.4,35746.2,96265.8,50852.4,40781.6,17.74,17.89,18.04,11.16,13.64,27.67,41.7,41.7,-1.17,-1.17,-1.17,12.76
嘉定区,65187.0,27255.6,30202.8,83064.5,30323.0,25782.0,85191.75,34864.0,25782.0,87319.0,39405.0,25782.0,84429.0,39405.0,30323.0,27.42,30.69,33.95,29.52,11.25,27.91,44.58,44.58,-14.64,-14.64,-14.64,0.4
浦东新区,229735.8,96180.6,96816.6,269192.6,108532.8,95862.6,269915.7,121203.0,95862.6,270638.8,133873.2,95862.6,257342.4,133873.2,108532.8,17.17,17.49,17.8,12.02,12.84,26.02,39.19,39.19,-0.99,-0.99,-0.99,12.1
金山区,29398.8,13906.4,15848.4,33453.2,14111.4,12935.4,33716.4,15287.4,12935.4,33979.6,16463.4,12935.4,32335.8,16463.4,14111.4,13.79,14.69,15.58,9.99,1.47,9.93,18.39,18.39,-18.38,-18.38,-18.38,-10.96
